mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
51,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
51,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
52,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
52,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
52,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
53,1,1,1.0,10000000.0,neutron,total,flux,8.600114169719952e-07,8.600114169719952e-07
53,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
53,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
54,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
54,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
54,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
55,1,1,1.0,10000000.0,neutron,total,flux,2.581235208551618e-07,2.5812352085516186e-07
55,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
55,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
56,1,1,1.0,10000000.0,neutron,total,flux,1.2851564319288852e-06,8.728874040631901e-07
56,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
56,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
57,1,1,1.0,10000000.0,neutron,total,flux,7.539424889633664e-07,7.539424889633663e-07
57,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
57,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
58,1,1,1.0,10000000.0,neutron,total,flux,6.148827116096203e-07,6.148827116096202e-07
58,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
58,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
59,1,1,1.0,10000000.0,neutron,total,flux,8.313026268539581e-07,8.313026268539581e-07
59,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
59,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
60,1,1,1.0,10000000.0,neutron,total,flux,8.437361764179904e-07,8.437361764179904e-07
60,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
60,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
61,1,1,1.0,10000000.0,neutron,total,flux,7.105323210396932e-07,7.105323210396932e-07
61,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
61,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
62,1,1,1.0,10000000.0,neutron,total,flux,3.3161866298419167e-06,1.3884488408820587e-06
62,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
62,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
63,1,1,1.0,10000000.0,neutron,total,flux,1.407879482375111e-06,9.390124246574591e-07
63,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
63,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
64,1,1,1.0,10000000.0,neutron,total,flux,1.4503157827083914e-06,9.691272668232743e-07
64,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
64,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
65,1,1,1.0,10000000.0,neutron,total,flux,2.1654977537924197e-06,1.1790544008698158e-06
65,1,1,10000000.0,14000000.0,neutron,total,flux,6.97134766153508e-07,6.97134766153508e-07
65,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
66,1,1,1.0,10000000.0,neutron,total,flux,9.497426682205153e-07,7.053710784998679e-07
66,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
66,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
67,1,1,1.0,10000000.0,neutron,total,flux,1.904229396979741e-06,1.2441889735711145e-06
67,1,1,10000000.0,14000000.0,neutron,total,flux,2.4088058224469714e-07,2.4088058224469714e-07
67,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
68,1,1,1.0,10000000.0,neutron,total,flux,1.412361186888173e-06,8.542837322124214e-07
68,1,1,10000000.0,14000000.0,neutron,total,flux,4.481032586871669e-07,4.4810325868716687e-07
68,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
69,1,1,1.0,10000000.0,neutron,total,flux,2.2797414739179257e-06,1.1613185542340295e-06
69,1,1,10000000.0,14000000.0,neutron,total,flux,5.275569327706508e-07,5.275569327706508e-07
69,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
70,1,1,1.0,10000000.0,neutron,total,flux,2.1620994566998446e-06,1.1023450936110208e-06
70,1,1,10000000.0,14000000.0,neutron,total,flux,2.573282588675616e-07,2.5732825886756166e-07
70,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
71,1,1,1.0,10000000.0,neutron,total,flux,1.8137162192376895e-06,9.095563100640064e-07
71,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
71,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
72,1,1,1.0,10000000.0,neutron,total,flux,5.5980507110666355e-06,2.0424409419660067e-06
72,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
72,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
73,1,1,1.0,10000000.0,neutron,total,flux,3.184964910905889e-06,1.3603834087858277e-06
73,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
73,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
74,1,1,1.0,10000000.0,neutron,total,flux,1.2873185922665414e-06,7.300786498478724e-07
74,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
74,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
