mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
79,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
80,1,1,1.0,10000000.0,neutron,total,flux,6.333242259794308e-06,1.2348951544294184e-06
80,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
80,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
81,1,1,1.0,10000000.0,neutron,total,flux,3.25693517697666e-06,1.9891608500971297e-06
81,1,1,10000000.0,14000000.0,neutron,total,flux,6.793112061746735e-07,6.793112061746735e-07
81,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
82,1,1,1.0,10000000.0,neutron,total,flux,4.740783664137421e-06,2.3027031100720525e-06
82,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
82,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
83,1,1,1.0,10000000.0,neutron,total,flux,3.457154978341802e-06,1.0015083867095004e-06
83,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
83,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
84,1,1,1.0,10000000.0,neutron,total,flux,3.853253890418995e-06,2.1925181213188623e-06
84,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
84,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
85,1,1,1.0,10000000.0,neutron,total,flux,4.991534580115772e-06,1.496597547678819e-06
85,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
85,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
86,1,1,1.0,10000000.0,neutron,total,flux,3.8160917925063585e-06,1.3732279774936421e-06
86,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
86,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
87,1,1,1.0,10000000.0,neutron,total,flux,2.3954356386741187e-06,1.2215394623732744e-06
87,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
87,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
88,1,1,1.0,10000000.0,neutron,total,flux,3.900498387098559e-06,1.3398249056223703e-06
88,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
88,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
89,1,1,1.0,10000000.0,neutron,total,flux,4.270334710771482e-06,1.7893518508864829e-06
89,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
89,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
90,1,1,1.0,10000000.0,neutron,total,flux,4.906441159108945e-06,1.7764530616271971e-06
90,1,1,10000000.0,14000000.0,neutron,total,flux,8.118331857241932e-07,8.118331857241933e-07
90,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
91,1,1,1.0,10000000.0,neutron,total,flux,2.669228892618816e-06,1.450937279449332e-06
91,1,1,10000000.0,14000000.0,neutron,total,flux,9.028752807756743e-08,9.028752807756744e-08
91,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
92,1,1,1.0,10000000.0,neutron,total,flux,4.360516763964879e-06,1.1827069952812626e-06
92,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
92,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
93,1,1,1.0,10000000.0,neutron,total,flux,2.091871849329774e-06,1.0783712246127292e-06
93,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
93,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
94,1,1,1.0,10000000.0,neutron,total,flux,2.8642685880437537e-06,1.1875171006101973e-06
94,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
94,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
95,1,1,1.0,10000000.0,neutron,total,flux,1.4581098658103604e-06,9.733953055334549e-07
95,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
95,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
96,1,1,1.0,10000000.0,neutron,total,flux,4.2642387883659964e-06,2.1155731263712493e-06
96,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
96,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
97,1,1,1.0,10000000.0,neutron,total,flux,3.197836953397452e-06,1.2358091631257585e-06
97,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
97,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
98,1,1,1.0,10000000.0,neutron,total,flux,4.617818246086493e-06,1.9748474181365866e-06
98,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
98,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
99,1,1,1.0,10000000.0,neutron,total,flux,4.705005455453662e-06,2.4185910534839384e-06
99,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
99,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
1,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
1,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
1,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
2,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
2,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
2,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
3,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
3,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
3,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
4,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
4,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
4,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
5,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
5,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
5,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
6,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
6,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
6,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
7,1,2,1.0,10000000.0,neutron,total,flux,3.9435789260855105e-07,3.9435789260855105e-07
7,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
7,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
8,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
